,ascentId,platform,userAvatar,userName,userSlug,date,difficulty,comment,userPrivate,countrySlug,countryName,areaSlug,areaName,sectorSlug,sectorName,traditional,firstAscent,chipped,withKneepad,badAnchor,badBolts,highFirstBolt,looseRock,badClippingPosition,isHard,isSoft,isBoltedByMe,isOverhang,isVertical,isSlab,isRoof,isAthletic,isEndurance,isCrimpy,isCruxy,isSloper,isTechnical,type,repeat,project,rating,category,recommended,secondGo,duplicate,isDanger,zlagGradeIndex,zlaggableName,zlaggableSlug,cragSlug,cragName,style,O-grade
0,8434226,eight_a,https://d3byf4kaqtov0k.cloudfront.net/p/gallery/thumb/1476.jpg,Adam Ondra,adam-ondra,2024-02-17T12:00:00+00:00,9a,Amazing line by Matteo Gambaro. Me and Seb we both used kneepads and took kind of different direction/beta on the very top (what we believe is more intuitive) which makes it much easier. and I think it could be soft 9a like this. The way Matteo did it is much harder and could be even 9a+?,False,italy,Italy,albenga,Oltrefinale / Albenga,erboristeria-bassa,Erboristeria Bassa,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,rp,False,False,5,0,False,True,False,False,35,Narcissus,narcissus,erboristeria,Erboristeria,repeat,?
1,8434211,eight_a,https://d3byf4kaqtov0k.cloudfront.net/p/gallery/thumb/1476.jpg,Adam Ondra,adam-ondra,2024-02-17T12:00:00+00:00,8b+,"8b+/c, quite a fight to find the beta and whwere to go",False,italy,Italy,albenga,Oltrefinale / Albenga,erboristeria-bassa,Erboristeria Bassa,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,os,False,False,3,0,False,False,False,False,32,Kalmia-moci,kalmia-moci,erboristeria,Erboristeria,onsight,1
2,8434206,eight_a,https://d3byf4kaqtov0k.cloudfront.net/p/gallery/thumb/1476.jpg,Adam Ondra,adam-ondra,2024-02-17T12:00:00+00:00,8a,One move,False,italy,Italy,albenga,Oltrefinale / Albenga,erboristeria-bassa,Erboristeria Bassa,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,os,False,False,3,0,False,False,False,False,29,MUIRA PUANA,muira-puana-a1cfb,erboristeria,Erboristeria,onsight,1
3,8431614,eight_a,https://d3byf4kaqtov0k.cloudfront.net/p/gallery/thumb/1476.jpg,Adam Ondra,adam-ondra,2024-02-16T12:00:00+00:00,8c+,So close to flash after Jules showing me the moves,False,france,France,nice,Nice,delicarepi,Delicarepi,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rp,False,False,5,0,False,False,False,False,34,Stéroïde bul,steroide-bul,greolieres,Gréolières,repeat,?
4,8431618,eight_a,https://d3byf4kaqtov0k.cloudfront.net/p/gallery/thumb/1476.jpg,Adam Ondra,adam-ondra,2024-02-16T12:00:00+00:00,8a,easy for the tall? Very good,False,france,France,nice,Nice,delicarepi,Delicarepi,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,os,False,False,5,0,False,False,False,False,29,Cornichon explosif,cornichon-explosif,greolieres,Gréolières,onsight,1
5,8431679,eight_a,https://d3byf4kaqtov0k.cloudfront.net/p/gallery/thumb/1476.jpg,Adam Ondra,adam-ondra,2024-02-14T12:00:00+00:00,9a,"Trad. Amazing first ascent by James Pearson, such honor to make 2nd ascent.",False,france,France,annot,Annot,la-chambre-du-roi,La chambre du Roi,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,rp,False,False,5,0,True,False,False,False,35,Bon Voyage,bon-voyage,annot,Annot,repeat,?
6,8431633,eight_a,https://d3byf4kaqtov0k.cloudfront.net/p/gallery/thumb/1476.jpg,Adam Ondra,adam-ondra,2024-02-14T12:00:00+00:00,8c+,"Did it in the evening after sending Bon Voyage (2 tries), more filming in BV and on the way down, I checked it for 10min, rested 3mins and did it wiith headlamp. Probably soft 8c+?",False,france,France,annot,Annot,le-clemenceau,Le Clemenceau,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rp,False,False,3,0,False,True,False,False,34,Vitamania,vitamania,annot,Annot,repeat,?
7,8431642,eight_a,https://d3byf4kaqtov0k.cloudfront.net/p/gallery/thumb/1476.jpg,Adam Ondra,adam-ondra,2024-02-11T12:00:00+00:00,8b+,Fun moves!,False,france,France,aix-en-provence,Aix-en-Provence,le-brillant-sonne-7d2e0,Brillant sonné,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,os,False,False,5,0,False,False,False,False,32,Finement con,finement-con-1f3c0,buoux,Buoux,onsight,1
8,8431645,eight_a,https://d3byf4kaqtov0k.cloudfront.net/p/gallery/thumb/1476.jpg,Adam Ondra,adam-ondra,2024-02-11T12:00:00+00:00,8c,"Really good route, enjoyed it a lot! Epic fight with the pump, very resistant and physical all the way to the top!",False,france,France,aix-en-provence,Aix-en-Provence,le-brillant-sonne-7d2e0,Brillant sonné,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,os,False,False,5,0,True,False,False,False,33,Le brillant saoul,le-brillant-saoul-42eb2,buoux,Buoux,onsight,1
9,8431640,eight_a,https://d3byf4kaqtov0k.cloudfront.net/p/gallery/thumb/1476.jpg,Adam Ondra,adam-ondra,2024-02-11T12:00:00+00:00,8a,,False,france,France,aix-en-provence,Aix-en-Provence,le-brillant-sonne-7d2e0,Brillant sonné,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,os,False,False,3,0,False,False,False,False,29,Lapidé à la figue molle L2,lapide-a-la-figue-molle-l2-d5105,buoux,Buoux,onsight,1
10,8431653,eight_a,https://d3byf4kaqtov0k.cloudfront.net/p/gallery/thumb/1476.jpg,Adam Ondra,adam-ondra,2024-02-09T12:00:00+00:00,8c+,"With good use of kneepad, it is probably just hard 8c+. Kneepad eliminates the first part of the boulderproblem, and then it gets you better rest before the crux of 8c.",False,france,France,nice,Nice,pupuce-surplomb,Pupuce Surplomb,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,rp,False,False,0,0,False,False,False,False,34,Inga,inga,gorges-du-loup,Gorges du Loup,repeat,?
11,8410912,eight_a,https://d3byf4kaqtov0k.cloudfront.net/p/gallery/thumb/1476.jpg,Adam Ondra,adam-ondra,2024-02-07T12:00:00+00:00,8b,"So good! big fight, no chalk, dust on the holds and cold wind",False,austria,Austria,villach,Villach,grosser-prasvale,Grosser Prasvale,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,os,False,False,5,0,True,False,False,False,31,Rock me baby,rock-me-baby,kanzianiberg,Kanzianiberg,onsight,1
